ticker,company,date,open_inr,high_inr,low_inr,close_inr,volume,daily_return_pct
TCS.BSE,Tata Consultancy Services,2026-03-12,2460.0,2472.5,2436.0,2442.8501,326704,-0.9046021907227586
TCS.BSE,Tata Consultancy Services,2026-03-13,2442.0,2445.0,2397.1001,2410.3,218508,-1.3324640754665995
TCS.BSE,Tata Consultancy Services,2026-03-16,2410.3,2424.8999,2366.3999,2408.3501,130847,-0.08089864332241348
TCS.BSE,Tata Consultancy Services,2026-03-17,2422.0,2422.0,2360.0,2391.75,101752,-0.6892727099768514
TCS.BSE,Tata Consultancy Services,2026-03-18,2410.0,2483.05,2410.0,2441.1499,246142,2.0654290791261687
TCS.BSE,Tata Consultancy Services,2026-03-19,2416.0,2423.1499,2350.1001,2356.55,416565,-3.4655757927851805
TCS.BSE,Tata Consultancy Services,2026-03-20,2379.1001,2407.8,2364.0,2390.6001,188527,1.4449131145106264
TCS.BSE,Tata Consultancy Services,2026-03-23,2365.0,2407.0,2350.0,2382.8999,337307,-0.32210322420718196
TCS.BSE,Tata Consultancy Services,2026-03-24,2419.8999,2435.55,2378.7,2398.8,162128,0.6672584106449664
TCS.BSE,Tata Consultancy Services,2026-03-25,2415.3999,2421.7,2371.0,2378.1499,672818,-0.8608512589628248
